precio,diferencia_minimo
25.9,1.3015075376884422
26.9,1.3517587939698492
26.9,1.3517587939698492
26.9,1.3517587939698492
26.9,1.3517587939698492
26.9,1.2809523809523808
26.9,1.3517587939698492
26.9,1.3585858585858586
26.9,1.3759590792838874
26.9,1.3759590792838874
26.9,1.3794871794871795
26.9,1.3794871794871795
26.9,1.3794871794871795
24.5,1.2564102564102564
22.0,1.1282051282051282
22.0,1.0731707317073171
22.0,1.0731707317073171
22.0,1.1859838274932615
22.0,1.1859838274932615
22.0,1.1859838274932615
22.0,1.2571428571428571
22.0,1.2256267409470754
22.0,1.2256267409470754
22.0,1.2256267409470754
22.0,1.1578947368421053
22.0,1.2716763005780347
22.0,1.1578947368421053
22.0,1.2607449856733526
26.9,1.5415472779369628
26.9,1.393782383419689
25.0,1.3513513513513513
25.0,1.25
25.0,1.2531328320802007
25.0,1.2506253126563283
25.0,1.3164823591363877
25.0,1.2506253126563283
25.0,1.240694789081886
25.0,1.3227513227513228
25.0,1.256281407035176
25.0,1.240694789081886
25.0,1.3227513227513228
25.0,1.3227513227513228
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.1415525114155252
25.0,1.1415525114155252
25.0,1.1737089201877935
25.0,1.2953367875647668
25.0,1.240694789081886
25.0,1.240694789081886
25.0,1.2953367875647668
25.0,1.3227513227513228
25.0,1.1627906976744187
25.0,1.1961722488038278
20.9,1.0245098039215685
25.0,1.278772378516624
25.0,1.2254901960784315
25.0,1.2254901960784315
25.0,1.199040767386091
26.9,1.2809523809523808
26.9,1.3349875930521091
26.9,1.3349875930521091
26.9,1.3349875930521091
26.9,1.2718676122931443
26.9,1.2511627906976743
26.9,1.2283105022831051
26.9,1.2901678657074338
25.35,1.2675
26.9,1.3026634382566586
26.9,1.3517587939698492
26.9,1.3517587939698492
26.9,1.4195250659630607
26.9,1.473972602739726
26.9,1.5027932960893855
26.9,1.3026634382566586
26.9,1.3026634382566586
26.9,1.3517587939698492
