fecha,precio,diferencia_minimo
2021-01-08,29.9,1.2008032128514057
2021-01-15,29.9,1.196
2021-01-22,32.0,1.2549019607843137
2021-01-29,32.0,1.2549019607843137
2021-02-05,32.0,1.285140562248996
2021-02-12,32.0,1.1829944547134934
2021-02-19,32.0,1.1829944547134934
2021-02-26,32.0,1.1851851851851851
2021-03-05,32.0,1.1851851851851851
2021-03-12,32.0,1.1851851851851851
2021-03-19,28.9,1.156
2021-03-26,28.9,1.1555377848860455
2021-04-02,28.9,1.1555377848860455
2021-04-09,28.9,1.1555377848860455
2021-04-16,28.9,1.1555377848860455
2021-04-23,28.9,1.1555377848860455
2021-04-30,28.9,1.1555377848860455
2021-05-07,36.9,1.4754098360655736
2021-05-14,36.9,1.4754098360655736
2021-05-21,36.9,1.4754098360655736
2021-05-28,42.9,1.5052631578947369
2021-06-04,42.9,1.434782608695652
2021-06-11,42.9,1.6823529411764706
2021-06-18,42.9,1.6823529411764706
2021-06-25,42.9,1.7153138744502197
2021-07-02,38.9,1.3010033444816054
2021-07-09,38.9,1.3892857142857142
2021-07-16,38.9,1.3892857142857142
2021-07-23,38.9,1.2966666666666666
2021-07-30,38.9,1.556
2021-08-06,37.9,1.3535714285714284
2021-08-13,37.9,1.2633333333333332
2021-08-20,37.9,1.3535714285714284
2021-08-27,37.9,1.2675585284280937
2021-09-03,37.9,1.1484848484848484
2021-09-10,42.9,1.43
2021-09-17,42.9,1.43
2021-09-24,42.9,1.43
2021-10-01,42.9,1.43
2021-10-08,42.9,1.43
2021-10-15,38.9,1.2966666666666666
2021-10-22,38.9,1.2754098360655737
2021-10-29,38.9,1.2966666666666666
2021-11-05,42.9,1.434782608695652
2021-11-12,42.9,1.434782608695652
2021-11-19,42.9,1.434782608695652
2021-11-24,42.9,1.4065573770491804
2021-11-26,46.9,1.5377049180327869
2021-12-03,46.9,1.5633333333333332
2021-12-09,46.9,1.568561872909699
2021-12-17,46.9,1.568561872909699
2021-12-24,46.9,1.5581395348837208
2021-12-31,46.9,1.5581395348837208
2022-01-07,46.9,1.5633333333333332
2022-01-14,46.9,1.5633333333333332
2022-01-21,46.9,1.5633333333333332
2022-01-28,46.9,1.5633333333333332
2022-02-04,44.5,1.4833333333333334
2022-02-11,44.5,1.488294314381271
2022-02-18,43.5,1.4548494983277593
2022-02-25,43.5,1.4548494983277593
2022-03-04,43.5,1.45
2022-03-11,44.5,1.4833333333333334
2022-03-18,44.5,1.4833333333333334
2022-03-25,44.5,1.459016393442623
2022-04-01,46.9,1.568561872909699
2022-04-08,48.9,1.6032786885245902
2022-04-13,48.9,1.63
2022-04-22,48.9,1.63
2022-04-29,57.0,1.9
2022-05-06,49.9,1.559375
2022-05-13,55.0,1.6417910447761195
2022-05-20,55.0,1.8333333333333333
2022-05-27,55.0,1.8333333333333333
2022-06-03,55.0,1.8333333333333333
2022-06-10,55.0,1.8333333333333333
2022-06-17,51.0,1.5454545454545454
2022-06-24,51.0,1.6721311475409837
2022-07-01,51.0,1.7
2022-07-08,51.0,1.7
2022-07-15,51.0,1.7
2022-07-22,50.0,1.5151515151515151
2022-07-29,50.0,1.6666666666666667
2022-08-05,50.0,1.1904761904761905
2022-08-12,50.0,1.6666666666666667
2022-08-19,55.0,1.7741935483870968
2022-08-26,55.0,1.8333333333333333
2022-09-02,55.0,1.8333333333333333
2022-09-09,55.0,1.6666666666666667
2022-09-15,55.0,1.6176470588235294
2022-09-23,55.0,1.3095238095238095
2022-09-30,55.0,1.8333333333333333
2022-10-07,55.0,1.7741935483870968
2022-10-14,55.0,1.3095238095238095
2022-10-21,55.0,1.7741935483870968
2022-10-28,55.0,1.1578947368421053
2022-11-04,49.0,1.53125
2022-11-11,49.0,1.53125
2022-11-18,49.0,1.53125
2022-11-25,51.0,1.0874200426439233
2022-12-02,51.0,1.0851063829787233
2022-12-09,51.0,1.096774193548387
2022-12-16,51.0,1.096774193548387
2022-12-23,51.0,1.1333333333333333
2022-12-30,51.0,1.1333333333333333
